	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
AL445567.2	0.0	0.0	0.0	0.0	0.0	0.0
AL445584.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445584.3	0.0	0.0	0.0	0.0	0.0	0.0
AL445646.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445647.2	0.0	0.0	0.0	0.0	0.0	0.0
AL445665.1	1.4132799999999999	0.127944	0.0	0.0	0.0	0.035213699999999994
AL445669.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445669.2	0.0	0.0	0.0	0.0	0.0	0.0
AL445670.1	0.0	0.0	0.0	0.0	0.0	0.572846
AL445675.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445675.2	0.0	0.0	0.0	0.0	0.0	0.0
AL445685.2	0.0	0.0	0.0	0.0	0.0	0.0
AL445686.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445687.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445687.2	0.0	0.0	0.0	0.0	0.0	0.0
AL445928.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445933.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445984.1	0.0	0.0	0.0	0.0	0.0	0.0
AL445991.1	0.288267	0.0	0.0	0.283329	0.333784	0.0
AL449212.1	0.241247	0.278428	0.0	0.0	0.280134	0.487281
AL449266.1	0.0	0.0	0.0	0.0	0.0	0.0
AL449283.1	0.0584869	0.044092599999999996	0.0	0.179607	0.10386300000000001	0.0785005
AL449363.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450023.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450023.2	0.0	0.0	0.0	0.0	0.0	0.0
AL450023.3	0.0	0.0	0.0	0.0	0.0	0.0
AL450063.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450124.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450263.2	0.0	0.0	0.0	0.0	0.0	0.0
AL450304.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450309.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450326.2	0.0	0.0	0.0	0.0	0.0	0.0
AL450336.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450338.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450346.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450346.2	0.0	0.0	0.0	0.0	0.0	0.0
AL450405.1	0.0	0.3964	0.0	0.0	0.814998	0.0
AL450471.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450472.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450472.2	0.0	0.0	0.0	0.0	0.0	0.0
AL450472.3	0.0	0.0	0.0	0.0	0.0	0.0
AL450487.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450487.2	0.0	0.0	0.0	0.0	0.0	0.0
AL450489.1	0.297873	0.0	0.0	0.0	0.0	0.0
AL450992.3	0.0	0.0	0.0	0.0	0.0	0.0
AL450996.1	0.0	0.0	0.0	0.0	0.0	0.0
AL450998.1	0.0	0.0	0.0	0.338248	0.0	0.0
AL451000.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451007.1	0.0	0.0	2.82268	0.0	0.0	0.0
AL451007.3	0.0	0.0	0.195925	0.0	0.0	0.0
AL451044.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451046.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451046.2	0.0	0.0	0.0	0.0	0.0	0.0
AL451050.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451054.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451054.2	0.0	0.0	0.0	0.0	0.0	0.0
AL451054.3	0.0	0.0	0.0	0.0	0.0	0.0
AL451061.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451062.2	0.0	0.0	0.0	1.01181	0.0	0.0
AL451063.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451074.1	0.0	0.0	0.0	0.0	0.0983428	0.084643
AL451074.3	0.0	0.0	0.0	0.0	0.0	0.0
AL451074.4	0.0	0.0	0.0	0.0	0.0	0.0
AL451074.5	0.0	0.0	0.0	0.0	0.0	0.0
AL451081.2	0.0	0.0	0.0	0.0	0.0	0.0
AL451086.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451105.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451124.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451136.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451139.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451142.1	0.0	0.0	0.0	0.0	0.0	0.0
AL451142.2	0.0	0.0	0.0	0.0	0.0	0.0
AL451142.3	0.0	0.0	0.0	0.0	0.0	0.0
AL451165.1	0.0	0.0	0.0	0.0	0.0	0.0
AL499605.1	0.0	0.0	0.0	0.0	0.0	0.0
AL500522.2	0.0	0.0	0.0	0.0	0.0	0.0
AL500527.1	0.0	0.0	0.0	0.0	0.0	0.0
AL500527.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512286.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512288.2	0.52185	0.0	0.536712	0.0	0.0	0.0
AL512306.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.3	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.4	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.5	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.6	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.7	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.8	0.0	0.0	0.0	0.0	0.0	0.0
AL512310.9	0.0	0.0	0.0	0.0	0.0	0.0
AL512324.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512324.3	0.0	0.0	0.0	0.0	0.0	0.0
AL512324.4	0.0	0.0	0.0	0.0	0.0	0.0
AL512326.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512326.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512326.3	0.0	0.0	0.0	0.0	0.0	0.0
AL512329.1	0.0	0.0	0.0475076	0.0451548	0.10741500000000001	0.0
AL512343.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512353.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512353.3	0.0	0.0	0.0	0.0	0.0	0.0
AL512356.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512360.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512361.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512378.1	0.0	0.0377386	0.0	0.0	0.0	0.0
AL512384.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512422.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512427.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512428.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512430.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512430.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512430.3	0.0	0.0	0.0	0.0	0.0	0.0
AL512430.4	0.0	0.0	0.0	0.0	0.0	0.0
AL512504.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512504.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512506.3	0.0	0.0	0.0978829	0.0	0.0	0.0
AL512590.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512590.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512593.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512594.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512599.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512604.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512605.1	0.0	0.139188	0.0	0.0	0.0	0.12269300000000001
AL512605.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512624.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512625.2	0.337652	1.5488	0.7030430000000001	0.50039	1.1833799999999999	1.0243200000000001
AL512633.1	0.0	0.0	0.162178	0.0	0.0	0.0
AL512635.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512637.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512637.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512638.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512638.3	0.0	0.0	0.0	0.0	0.0	0.0
AL512646.1	0.0	0.0	0.0777133	0.0	0.0877054	0.00290129
AL512649.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512661.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512782.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512785.2	0.22038400000000002	0.0	0.389837	0.0	0.0	0.0397918
AL512844.1	0.0	0.0	0.0	0.0	0.0	0.0
AL512844.2	0.0	0.0	0.0	0.0	0.0	0.0
AL512882.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513043.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513043.2	0.0	0.0	0.0	0.0	0.0	0.0
AL513122.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513124.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513165.2	1.34222	0.24559499999999998	1.8115	1.2627899999999999	1.06175	1.4028100000000001
AL513174.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513175.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513175.2	0.0	0.0	0.0	0.0	0.0	0.0
AL513185.2	0.0	0.0	0.0	0.0	0.0	0.0
AL513185.3	0.0	0.0	0.0	0.0	0.0	0.0
AL513302.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513318.1	0.0	0.189646	0.347734	0.0	0.0980725	0.168818
AL513321.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513325.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513328.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513331.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513343.1	0.0	0.0	0.0	0.0	0.0	0.11642000000000001
AL513365.1	0.900799	0.0	0.468584	0.0	0.0	0.0
AL513366.1	0.0	0.0	0.0	0.0609764	0.0	0.12457
AL513423.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513475.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513475.2	0.0	0.0	0.0	0.0	0.0	0.0
AL513477.1	0.112553	0.0318826	0.0294165	0.111857	0.066575	0.0570889
AL513478.1	0.0	0.0	0.0	0.0	0.0	0.48126599999999997
AL513478.3	0.0	0.0	0.0	0.0	0.0	0.0
AL513478.4	0.0	0.0	0.0	0.0	0.0	0.0
AL513479.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513480.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513485.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513523.1	0.40489400000000003	0.22993899999999998	0.21142800000000003	0.200933	0.17061099999999998	0.17591099999999998
AL513523.10	0.43804499999999996	1.29883	2.1167	0.853419	2.35414	1.31243
AL513523.2	0.0	0.0	0.0355048	0.016875	0.0	0.0
AL513523.5	0.40489400000000003	0.22993899999999998	0.21142800000000003	0.200933	0.17061099999999998	0.17591099999999998
AL513523.6	0.0	0.0	0.0355048	0.016875	0.0	0.0
AL513523.9	0.43804499999999996	1.29883	2.1167	0.853419	2.35414	1.31243
AL513533.1	0.0	0.0	0.0	0.0	0.0	0.0
AL513534.2	0.0	0.0	0.0	0.0	0.0	0.0
AL513548.2	0.0	0.0	0.0	0.0	0.0	0.0
AL583805.1	0.0	0.0	0.0	0.0	0.0	0.0
AL583832.1	0.0	0.266579	0.243454	0.11560699999999999	0.274109	0.47289
AL583834.1	0.0	0.0	0.0	0.0	0.0	0.0
AL583835.1	0.0	0.0	0.0	0.0	0.0	0.0
AL583835.2	0.0	0.0	0.0	0.0	0.0	0.0
AL583836.1	0.0	0.0	0.0	0.0	0.0	0.0
AL583843.1	0.0	0.0	0.620522	0.0	0.0	0.0
AL583844.1	0.0	0.0468975	0.0	0.0	0.0	0.0419297
AL583856.1	0.0	0.0	0.0754854	0.0	0.08521039999999999	0.0
AL589182.2	0.07715230000000001	0.0	0.0	0.0	0.0909273	0.0
AL589647.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589655.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589666.1	1.20486	1.41126	1.60989	1.85549	1.8776099999999998	1.49894
AL589674.2	0.0	0.0	0.0	0.0	0.0	0.0
AL589743.2	0.0	0.0	0.0	0.0	0.0	0.0
AL589743.3	0.0	0.0	0.0	0.0	0.0	0.0
AL589743.5	0.014487700000000001	0.350465	0.257069	0.0	0.121048	0.0
AL589743.6	0.0	0.0	0.0	0.0	0.0	0.0
AL589743.7	0.0	0.0	0.0	0.0	0.0	0.0
AL589763.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589765.3	0.0	0.0	0.0	0.0	0.0	0.0
AL589794.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589823.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589826.1	0.0	0.0	0.0	0.0	0.0	1.2398799999999999
AL589843.2	0.7172850000000001	0.62846	0.8197760000000001	0.706343	0.405389	0.808952
AL589872.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589880.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589935.2	0.0	0.07104989999999999	0.0	0.0620508	0.073746	0.0
AL589987.1	10.9362	11.9745	10.6031	10.1791	12.5853	7.63974
AL589993.1	0.026678399999999998	0.060449800000000005	0.11156700000000001	0.026514999999999997	0.0315647	0.0
AL589994.1	0.0	0.0	0.0	0.0	0.0	0.0
AL589994.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590002.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590004.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590004.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590032.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590065.1	0.0811447	0.0790096	0.04403630000000001	0.152871	0.0174803	0.13752899999999998
AL590084.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590084.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590084.3	0.0	0.0	0.0	0.0	0.0	0.0
AL590095.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590099.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590103.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590128.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590132.1	0.177404	0.19355	0.0784336	0.0	0.0736729	0.12190799999999999
AL590135.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590139.1	0.0	0.0	0.0	0.0	0.0	0.442007
AL590143.1	0.0	0.0	0.0	0.0	0.0	2.17675
AL590229.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590233.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590240.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590240.2	0.0	0.0	0.0	0.0953609	0.113159	0.0
AL590240.3	0.0	0.0	0.0	0.0	0.0	0.0
AL590240.4	0.0	0.0	0.0	0.0	0.0	0.0
AL590282.1	0.0	0.0	0.0724312	0.0	0.0	0.0
AL590286.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590290.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590326.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590365.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590383.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590392.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590396.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590396.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590396.3	0.0	0.0	0.0	0.0	0.0	0.0
AL590396.4	0.0	0.0	0.0	0.0	0.0	0.0
AL590399.2	0.0	0.0	0.0	0.0	0.9004129999999999	0.0
AL590399.4	0.0	0.267365	0.376651	0.0	0.0	0.18294000000000002
AL590399.6	0.0	0.0	0.0	0.0	0.0	0.0
AL590410.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590426.1	0.0	0.0399311	0.0	0.0	0.0	0.0
AL590491.1	0.041846499999999995	0.07855269999999999	0.0	0.0	0.0	0.10648800000000001
AL590491.3	0.0	0.0	0.0	0.0	0.0	0.0
AL590556.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590556.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590559.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590560.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590609.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590609.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590617.1	0.125554	0.0	0.0	0.0	0.0	0.0
AL590623.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590627.1	0.06930889999999999	0.0	0.1555	0.109258	0.218038	0.0371815
AL590632.1	0.0	0.0	0.0	0.0	0.0	0.512618
AL590635.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590639.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590640.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590648.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590664.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590682.1	0.0	0.0	0.0	0.5974729999999999	0.703429	0.0
AL590704.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590705.4	0.0	0.0	0.0	0.0	0.0	0.0
AL590762.1	0.0	0.0	0.0	0.697764	0.410947	0.0
AL590762.2	0.0	0.0	0.0	0.0	0.0	0.0
AL590762.3	0.0	0.0	0.0	0.0	0.0	0.0
AL590762.4	0.0	0.0	1.2086299999999999	0.0	0.0	0.0
AL590763.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590806.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590808.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590824.1	0.0	0.0	0.0	0.0	0.0	0.0
AL590867.2	0.0	0.48858599999999996	0.44200500000000004	0.0	2.0191	0.8580209999999999
AL591034.1	0.0	0.0	0.0	0.614975	0.0	0.0
AL591034.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591034.3	0.0	0.0	0.0	0.0	0.0	0.0
AL591043.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591122.1	0.0	0.0	0.0	0.0	0.310062	0.0
AL591135.1	0.0	0.0	0.022705700000000002	0.0322966	0.0	0.011029700000000002
AL591212.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591222.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591222.3	0.0	0.0	0.0	0.0	0.0	0.0
AL591363.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591379.1	0.212918	0.170303	0.110997	0.09882410000000001	0.0808285	0.173923
AL591379.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591416.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591419.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591424.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591424.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591424.3	0.0	0.0	0.0	0.0	0.0	0.0
AL591438.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591438.2	0.712288	0.5333100000000001	0.782903	0.140915	0.584272	0.601653
AL591471.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591473.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591479.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591499.1	0.208536	0.0818704	0.07242660000000001	0.0	0.243354	0.213824
AL591503.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591503.3	0.0	0.0	0.0	0.0	0.0	0.0
AL591516.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591623.2	4.4253800000000005	0.0	0.0	0.0	0.0	0.0
AL591644.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591684.3	0.0	0.0	0.0	0.0	0.0	0.0
AL591704.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591704.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591719.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591742.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591767.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591767.3	0.0	0.0	0.0	0.230508	0.0	0.0
AL591806.2	0.0	0.0	0.0	0.0	0.0	0.0
AL591806.3	2.0571099999999998	1.14642	1.58297	2.1714700000000002	1.9980099999999998	1.21716
AL591846.1	0.0	0.0	0.365833	0.0	0.0	0.0
AL591848.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591866.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591926.1	0.0	0.0	0.0	0.0	0.0	0.0
AL591926.3	0.0	0.0	0.0	0.0	0.0	0.0
AL591926.4	0.0	0.0	0.0	0.0	0.0	0.0
AL591926.5	1.6448	0.0	0.0	0.0	0.0	0.0
AL591926.6	0.9205180000000001	0.0	0.0	0.0	0.0	0.39318400000000003
AL591926.7	0.0	0.0	0.0	0.0	0.0	0.0
AL591926.8	0.0	0.0	0.0	0.0	0.0	0.0
AL592043.2	0.0	0.0	0.0	0.0	0.0	0.0
AL592045.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592049.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592076.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592114.1	0.0	0.0	0.0	0.0	0.323171	0.0
AL592114.2	0.0	0.0	0.0	0.0	0.0	0.0
AL592148.1	0.0	0.0	0.0	0.0	0.38451599999999997	0.0
AL592148.2	0.0	0.0	0.681369	0.992107	0.0	0.509463
AL592156.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592183.1	11.7409	14.1226	15.4272	14.6016	13.8542	14.342
AL592221.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592227.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592291.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592293.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592293.2	0.0	0.0	0.0	0.0	0.0	0.0
AL592295.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592295.2	0.0	0.0	0.0	0.0	0.0	0.0
AL592309.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592310.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592429.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592436.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592437.1	0.26736	0.617284	0.0	0.526135	0.310062	0.0
AL592437.2	0.027787299999999997	0.125936	0.14525	0.0	0.0	0.140943
AL592447.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592490.1	0.0	0.0	0.0	0.0	0.0	0.0
AL592494.2	0.0	0.0	0.0	0.0	0.0	0.0
AL592504.1	0.0	0.0	0.0	0.0	0.0	0.0
AL593848.1	0.0	0.0	0.0	0.71609	0.0	0.0
AL593848.2	3.76459	5.31872	2.4999599999999997	0.0	7.080239999999999	3.74355
AL593851.1	0.0	0.0	0.0	0.0	0.0	0.0
AL593856.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596028.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596087.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596092.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596245.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596266.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596268.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596275.1	0.0	0.0	0.10317899999999999	0.0	0.0	0.0
AL596276.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596276.2	0.0	0.0	0.0	0.0	0.0	0.0
AL596327.1	0.0	0.0	0.0	0.0	0.0	0.0
AL596448.1	0.0	0.5166970000000001	0.0	0.0	0.0	0.0
AL603650.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603755.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603758.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603764.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603764.2	0.0	0.0	0.0	0.0	0.0	0.0
AL603766.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603825.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603832.3	0.249588	0.481365	0.5307970000000001	0.599414	0.0	0.701951
AL603841.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603865.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603865.2	0.0	0.0	0.0	0.0	0.0	0.0
AL603882.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603908.1	0.0	0.0	0.0	0.0	0.0	0.0
AL603910.2	0.0	0.0	0.0	0.0	0.0	0.0
AL603914.1	0.0	0.0	0.0	0.0	0.0	0.0
AL604028.2	1.6223299999999998	0.264506	0.845551	0.803048	0.272019	0.703885
AL606462.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606489.2	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.2	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.4	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.5	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.6	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.7	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.8	0.0	0.0	0.0	0.0	0.0	0.0
AL606490.9	0.0	0.0	0.0	0.0	0.0	0.0
AL606495.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606495.2	0.0	0.0	0.0	0.0	0.0	0.0
AL606517.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606517.2	0.0	0.0	0.0	0.0	0.0	0.0
AL606530.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606534.2	0.0	0.0	0.0	0.0	0.0	0.0
AL606534.5	0.061761	0.07017029999999999	0.0759485	0.061288499999999996	0.0	0.0626041
AL606534.6	0.0	0.0	0.0	0.0	0.0	0.0
AL606662.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606752.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606753.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606760.4	0.0	0.0	0.0	0.0	0.0	0.0
AL606834.1	0.0	0.0	0.0	0.0	0.0	0.0
AL606845.1	0.0	1.28282	0.0	0.0	0.0	0.0
AL606923.1	0.0	0.0	0.0	0.0	0.0	0.0
AL607023.1	0.0	0.0	0.0	0.0	0.0	0.0
AL607077.1	0.0	0.0	0.0	0.0	0.0	0.0
AL627082.1	0.0	0.0	0.0	0.0	0.0	0.0
AL627082.2	0.0	0.0	0.0	0.0	0.0	0.0
AL627095.1	0.0	0.0	0.0	0.0	0.0	0.0
AL627223.1	0.0	0.0	0.0	0.0	0.390234	0.0
AL627224.1	0.0	0.0	0.0	0.0	0.0	0.0
AL627230.1	0.0	0.0	0.0	0.0	0.0	1.6064200000000002
AL627230.2	2.98012	2.48581	1.60935	1.4085	1.6756400000000002	2.65545
AL627230.3	0.0	0.0	0.0	0.0	0.0	0.0
AL627230.4	5.11354	6.51397	8.41831	7.9095699999999995	7.07165	9.2878
AL627230.5	0.0	0.0	0.0	0.0	0.0	0.0
AL627230.6	0.0	0.0	0.0	0.0	0.0	0.0
AL627230.7	1.44784	1.6616799999999998	2.44823	2.5017400000000003	2.74588	1.09764
AL627230.8	0.0	0.0	0.0	0.0	3.4938e-07	0.0
AL627231.1	0.0	0.0	0.0	0.0	0.0	0.0
AL627308.1	0.21793099999999999	0.0	0.0	0.0	0.0	0.0
AL627308.2	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.6	0.0	0.0	0.0	0.0	0.123744	0.0
AL627309.7	0.0	0.0	0.0	0.10840799999999999	0.0	0.36774
AL627309.8	0.0	0.0	0.0	0.0	0.0	0.0
AL627311.1	0.0	0.0	0.0	0.0	0.0	0.0
AL627313.1	0.0	0.0	0.0	0.0	0.0	0.0
